Ano,Arinarnoa,Cabernet Sauvignon,Malbec,Merlot,Marselan,Nebbiolo,Pinot Noir,Sangiovese,Tannat,Tempranillo,Teroldego,Touriga Nacional
2006,11480,12063009,148733,8449561,66815,11082,1161465,133402,3055931,111158,51645,42376
2007,24878,14489153,399928,11399362,109574,13971,1270351,115475,3514880,192063,61659,127462
2008,12686,16646632,414138,11866618,181823,10019,1930823,405224,4711255,241017,69876,101376
2009,39607,13229864,393256,8876279,228360,14148,1387200,303438,4199190,242484,105372,131833
2010,35790,6617553,318059,6179006,200025,11986,1309849,258484,2266985,63526,68593,97629
2011,49376,13039126,636608,12510489,339023,21342,2513274,359833,4152135,256836,179095,189928
2012,81026,11355820,629019,9645204,261314,37530,2799071,280756,4585214,283929,157368,133820
2013,65001,10651084,590041,10179782,345504,9327,2392357,277679,3612439,219163,124542,136565
2014,56666,8556337,616160,7846034,404323,7223,2592701,122632,2644014,119398,87820,86460
2015,61817,7426634,624096,8030882,411105,12754,3125882,135962,2761604,182579,97455,136611
2016,17691,3877852,267885,3286035,205095,3117,1279105,26601,985207,210551,34019,53552
2017,69757,7242258,740327,8309646,385945,5494,3676000,89404,3668851,357637,87034,108245
2018,44775,6004627,628780,6257492,384278,9236,3240209,63832,2940306,278456,77625,122015
2020,90860,5889427,493966,6010486,449156,8642,3588106,85292,3571972,442330,106764,150166
2021,2785609,1857999,8502206,494356,154348,254738,6184345,3324793,2634802,968038,717757,38910
